"Haul","CL","nA","sfA","nB","sfB","qA","qB"
"D4H6",12,47,17.2690093823091,30,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",13,53,17.2690093823091,53,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",14,42,17.2690093823091,53,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",15,36,17.2690093823091,21,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",16,33,17.2690093823091,31,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",17,14,17.2690093823091,17,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",18,10,17.2690093823091,7,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",19,6,17.2690093823091,9,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",20,2,17.2690093823091,3,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",21,0,17.2690093823091,0,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",22,0,17.2690093823091,0,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",23,0,17.2690093823091,0,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",24,0,17.2690093823091,0,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",25,0,17.2690093823091,0,12.4634525733734,0.0579072011521651,0.0802345894215841
"D5H1",5,0,20.7182203723751,0,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",6,0,20.7182203723751,0,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",7,2,20.7182203723751,1,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",8,1,20.7182203723751,2,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",9,4,20.7182203723751,3,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",10,7,20.7182203723751,5,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",11,16,20.7182203723751,5,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",12,15,20.7182203723751,14,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",13,26,20.7182203723751,20,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",14,48,20.7182203723751,29,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",15,40,20.7182203723751,34,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",16,42,20.7182203723751,28,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",17,21,20.7182203723751,26,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",18,16,20.7182203723751,13,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",19,7,20.7182203723751,5,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",20,3,20.7182203723751,0,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",21,2,20.7182203723751,0,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",22,0,20.7182203723751,0,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",23,0,20.7182203723751,0,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",24,0,20.7182203723751,0,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H1",25,0,20.7182203723751,0,26.9503993289761,0.0482666938581927,0.0371052015887882
"D5H5",5,0,13.991606683561,0,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",6,0,13.991606683561,0,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",7,0,13.991606683561,0,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",8,2,13.991606683561,0,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",9,12,13.991606683561,5,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",10,16,13.991606683561,3,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",11,22,13.991606683561,9,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",12,23,13.991606683561,10,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",13,37,13.991606683561,27,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",14,39,13.991606683561,47,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",15,32,13.991606683561,39,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",16,38,13.991606683561,50,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",17,10,13.991606683561,23,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",18,15,13.991606683561,16,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",19,3,13.991606683561,12,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",20,1,13.991606683561,5,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",21,0,13.991606683561,1,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",22,0,13.991606683561,0,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",23,0,13.991606683561,0,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",24,0,13.991606683561,0,7.89504977687837,0.0714714201604107,0.126661646001096
"D5H5",25,0,13.991606683561,0,7.89504977687837,0.0714714201604107,0.126661646001096
"D6H3",5,0,11.7820388651874,0,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",6,0,11.7820388651874,0,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",7,0,11.7820388651874,0,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",8,0,11.7820388651874,0,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",9,1,11.7820388651874,2,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",10,7,11.7820388651874,1,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",11,5,11.7820388651874,6,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",12,20,11.7820388651874,8,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",13,31,11.7820388651874,22,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",14,42,11.7820388651874,18,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",15,29,11.7820388651874,38,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",16,22,11.7820388651874,31,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",17,16,11.7820388651874,35,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",18,14,11.7820388651874,33,7.57860524708999,0.0848749534305749,0.13195040081867
